license_number,public_name,vendor_id,name_source,is_public_dispensary,city,state
C10-0001552-LIC,The Sweet Spot,b660d041-c24d-44ae-a42e-cbc05d54a71f,name_column,yes,Santa Rosa,CA
C10-0001553-LIC,Sessions,2688dbca-3f59-4724-a76a-bc028c4644fc,name_column,yes,National City,CA
C10-0001554-LIC,Pico Legacy LLC.,529cc3ea-6ff8-49ef-ada5-953ca2a197bd,name_column,yes,Los Angeles,CA
C10-0001556-LIC,"NORTH COUNTRY OPERATIONS, INC",0067c40b-eb85-4163-956a-f82e1a1401ec,name_column,yes,Sacramento,CA
C10-0001557-LIC,Perfect Union,b139749a-a111-44a5-af85-87d09502289a,name_column,yes,San Diego,CA
C10-0001558-LIC,Fuego Lucerne Cannabis Dispensary,6b62cd97-bb9b-4cb1-9de5-3090b0a1091c,name_column,yes,Lucerne,CA
C10-0001561-LIC,Mammoth Roots,00b85ebb-24ad-4e49-8217-65b08a070f80,name_column,yes,Mammoth Lakes,CA
C10-0001562-LIC,Humboldt Honey Dispensary LLC,40622ec7-bf26-4314-aa65-1b87d1a9a57d,name_column,yes,Eureka,CA
C10-0001563-LIC,Flavors of Riverbank,8fc6e602-c3ad-4e21-8f02-7d2f95c97eb2,name_column,yes,Riverbank,CA
C10-0001564-LIC,Flame,e0da6e33-ca07-4045-a9b5-80914abe3a08,name_column,yes,Antioch,CA
C10-0001566-LIC,Catalyst - Long Beach Retro Row,e033f5bb-508c-465e-81fd-45e3e05869ed,name_column,yes,Long Beach,CA
C10-0001567-LIC,L.A. DULCE,4d9603b5-103f-4715-9596-9d9d256ab333,name_column,yes,San Pedro,CA
C10-0001568-LIC,Buzz Cannabis,7b455601-bb42-414c-9124-1e831ce3e8be,name_column,yes,National City,CA
C10-0001569-LIC,Jane Dispensary,edd2a61c-4486-430e-a0e1-86745609d1f7,name_column,yes,Healdsburg,CA
C10-0001570-LIC,PCF of Ceres,ab09018c-676f-484f-80ca-388670da952e,name_column,yes,Modesto,CA
C10-0001571-LIC,Embarc Woodland,650c02f3-51e5-47e2-8974-cdedaaf88e0b,name_column,yes,Woodland,CA
C10-0001572-LIC,The Artist Tree,ea9e7f61-ec23-43b9-bd61-d8e8b9bbea88,name_column,yes,Fresno,CA
C10-0001573-LIC,Jackpot,3468f57d-849c-4f5c-af80-a2f0fbf4b2ca,name_column,yes,Sacramento,CA
C10-0001574-LIC,Cathedral City Releaf,68b1f86d-cd37-446d-a783-f8f5c7cbb6cc,name_column,yes,Cathedral CTY,CA
C10-0001575-LIC,STIIIZY Madera,6472201f-282e-458e-80ce-c61ae1f3b808,name_column,yes,Madera,CA
C10-0001576-LIC,"Bundy Canyon, LLC",be1f13e3-59cf-4776-8bae-7e52c2d5f91c,name_column,yes,San Jose,CA
