vendor_id,license_number,name_field,legal_entity_from_description,is_public_dispensary,is_live,offers_storefront,offers_delivery,license_status,flags,city,state,slug
e1d0c7de-80d6-432c-964a-28d2c0b08d0f,C9-0000301-LIC,"Green Delivery, Inc","Green Delivery, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Los Angeles,CA,ca-uls-c9-0000301-lic
f135d082-e2e9-412c-aa46-98070fc0e1fe,C9-0000316-LIC,HAHA Organics,Coastal Care Organics Inc,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Oakland,CA,ca-uls-c9-0000316-lic
e41dcebd-c945-4399-8d8c-139c04556978,C9-0000323-LIC,Sticky Thumb,Make Your Mark Sf Inc,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Redwood City,CA,ca-uls-c9-0000323-lic
3ccb4f64-b15e-44d0-832c-ab7ae175ac78,C9-0000332-LIC,Tahoe Harvest Collection,Imajn Corp,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Nevada City,CA,ca-uls-c9-0000332-lic
cabf7358-a435-49b1-a4b2-43d6acf634e7,C9-0000334-LIC,"Garden State Nectar, Inc.","Garden State Nectar, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,San Luis Obispo,CA,ca-uls-c9-0000334-lic
c456b92b-33d0-4105-94c2-0dbf26bcacf5,C9-0000346-LIC,"HUMBLE ROOT INTERNATIONAL, INC","Humble Root International, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Sacramento,CA,ca-uls-c9-0000346-lic
5955871f-6c3b-4e81-bc35-139891053a88,C9-0000359-LIC,GOODFELLAS,Cannabis Plus LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Oakland,CA,ca-uls-c9-0000359-lic
b4e4dd21-ebce-4e41-bb83-10309af087fe,C9-0000362-LIC,Budzilla Cannabis Delivery,Cali Cannabis Care,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Bakersfield,CA,ca-uls-c9-0000362-lic
9f85a870-fc85-4e25-83f9-d79f1f39f140,C9-0000364-LIC,"REDWOOD ROOTS RETAIL, LLC","Redwood Roots Retail, LLC",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Eureka,CA,ca-uls-c9-0000364-lic
6ca59d1a-2a26-4cd9-aea9-a7943bd8bc97,C9-0000370-LIC,BAY LEAVES,"Elite Herbs, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,San Rafael,CA,ca-uls-c9-0000370-lic
ac25f468-0ae8-43f7-92fe-a9a20e87d6c8,C9-0000373-LIC,Green Canary,Sova,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Sacramento,CA,ca-uls-c9-0000373-lic
